STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/1/21,35,39,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/2/21,42,53,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/3/21,36,38,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/4/21,38,46,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/5/21,39,42,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/6/21,38,43,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/7/21,36,44,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/8/21,32,39,26
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/9/21,31,39,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/10/21,35,44,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/11/21,31,38,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/12/21,35,46,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/13/21,37,45,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/14/21,40,50,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/15/21,40,47,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/16/21,45,48,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/17/21,39,44,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/18/21,40,47,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/19/21,37,43,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/20/21,35,41,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/21/21,32,43,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/22/21,38,48,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/23/21,33,36,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/24/21,27,34,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/25/21,31,41,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/26/21,33,35,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/27/21,35,38,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/28/21,31,35,21
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/29/21,22,27,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/30/21,22,34,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1/31/21,23,26,19
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/1/21,26,31,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/2/21,32,34,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/3/21,33,37,29
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/4/21,35,43,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/5/21,38,48,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/6/21,38,44,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/7/21,33,36,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/8/21,24,29,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/9/21,27,33,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/10/21,29,35,21
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/11/21,29,33,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/12/21,25,31,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/13/21,26,28,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/14/21,30,38,26
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/15/21,33,34,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/16/21,39,51,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/17/21,30,33,22
